objectid,filename,youtubeid,vimeoid,title,series,creator,date,date is approximate,size,price,description,subject,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll020,rwanda_apollo-soyuz.jpg,,,"Apollo, Soyuz 3 and Mission Patch",,Rwanda,1976,,39 x 30 mm,20 c - Rwanda centime,A depiction of Apollo and Soyuz 3 at their launch pads,Soyuz 3;Apollo;spacecraft,-1.943889,30.059444,Personal Collection,,,image/jpg,fra,,
coll021,sharjah_apollo 11(1).jpg,,,Apollo 11 Sharjah stamp 1,Apollo 11,Sharjah,1972,Yes,51 x 41 mm,1 United Arab Emirates riyal,,Apollo 11;spacecraft,25.3575,55.390833,Personal Collection,,,image/jpg,,,
coll022,sharjah_apollo 11(2).jpg,,,Apollo 11 Sharjah stamp 2,Apollo 11,Sharjah,1972,Yes,51 x 41 mm,1 United Arab Emirates riyal,,Apollo 11;spacecraft,25.3575,55.390833,Personal Collection,,,image/jpg,,,
coll023,sharjah_apollo 17(1).jpg,,,Apollo 17 Sharjah stamp 1,Apollo 17,Sharjah,1972,Yes,51 x 41 mm,1 United Arab Emirates riyal,,Apollo 17,25.3575,55.390833,Personal Collection,,,image/jpg,,,
coll024,sharjah_apollo 17(2).jpg,,,Apollo 17 Sharjah stamp 2,Apollo 17,Sharjah,1972,Yes,41 x 51 mm,1 United Arab Emirates riyal,,Apollo 17;astronaught,25.3575,55.390833,Personal Collection,,,image/jpg,,,
coll025,sharjah_planets exploration.jpg,,,Planets Exploration,,Sharjah,1972,Yes,51 x 41 mm,1 United Arab Emirates riyal,,earth;satelite,25.3575,55.390833,Personal Collection,,,image/jpg,,,
coll026,equatorial guinea_armstrong.PNG,,,Neil Armstrong - Apollo 2,Equatorial Guinea 1978 Astronaught series ,Equatorial Guinea,1978,Yes,45 x 45 mm,15 Equatorial Guinean ekuele,Portrait of Neil Armstrong with Apollo 2 iflying towards the moon in the background,Apollo 2;Neil Armstrong;astronaught;spacecraft;moon,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll027,equatorial guinea_conrad jr.PNG,,,Charles Conrad Jr. - Gemini 2,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,1 Equatorial Guinean ekuele,Portrait of Charles Conrad Jr. with Gemini 2 flying through outer space,Charles Conrad Jr;Gemini 2;astronaught;spacecraft,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll028,equatorial guinea_cooper jr.PNG,,,L. Gordon Cooper Jr. - Mercury 9,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,60 Equatorial Guinean ekuele,Portrait of L. Gordon Cooper Jr. with earth and galaxy in background,Mercury 9;L. Gordon Cooper Jr;astronaught;earth;galaxy,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll029,equatorial guinea_Eisele.PNG,,,Donn F. Eisele - Apollo 7,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,3 Equatorial Guinean ekuele,Portrait of Donn F. Eisele with Apollo 7 in background,Donn F. Eisele;Apollo 7;astronaught;spacecraft,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll030,equatorial guinea_frank borman.PNG,,,Frank Borman - Apollo 8,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,5 Equatorial Guinean ekuele,Portrait of Frank Borman with Apollo 8 launching in the background,Apollo 8;Frank Borman;astronaught;spacecraft,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll031,equatorial guinea_glenn jr.PNG,,,John Glenn Jr. - Mercury 6,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,8 Equatorial Guinean ekuele,Portrait of John Glenn Jr. with moon looking over earth in background,John Glenn Jr;Mercury 9;astronaught;moon;earth,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll032,equatorial guinea_lovell jr.PNG,,,James Lovell Jr - Apollo 8,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,100 Equatorial Guinean ekuele,Portrait of James Lovell Jr. with moon in background,James Lovell Jr;Apollo 8;astronaught;moon,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll033,equatorial guinea_scott.PNG,,,David Scott - Apollo 9,Equatorial Guinea 1978 Astronaught series,Equatorial Guinea,1978,Yes,45 x 45 mm,30 Equatorial Guinean ekuele,Portrait of David Scott with Apollo 9 in background,David Scott;Apollo 9;astronaught;spacecraft,3.752064,8.7737,Personal Collection,,,image/PNG,eng;spa,,
coll034,manama_spaceflight.jpg,,,Satelite (Manama varient),Space Flight,Manama,1972,Yes,21 x 23 mm,3 United Arab Emirates dirham,,satelite,25.122325,56.334166,Personal Collection,,,image/jpg,,,
